time,actual,arima_model
2018-06-05 17:00:00,143.0,129.7218579914354
2018-06-05 18:00:00,154.0,133.83658557354374
2018-06-05 19:00:00,165.0,143.39251301207005
2018-06-05 20:00:00,154.0,150.23313766866357
2018-06-05 21:00:00,154.0,142.06271181649097
2018-06-05 22:00:00,148.0,135.18160223643292
2018-06-05 23:00:00,144.0,132.2223079986599
2018-06-06 00:00:00,135.0,139.05192375198908
2018-06-06 01:00:00,131.0,123.90357807659676
2018-06-06 02:00:00,128.0,119.46217677005865
2018-06-06 03:00:00,141.0,124.86020687366222
2018-06-06 04:00:00,144.0,141.55153728412532
2018-06-06 05:00:00,127.0,139.18597745202857
2018-06-06 06:00:00,130.0,113.45036939426797
2018-06-06 07:00:00,120.0,119.71536990057079
2018-06-06 08:00:00,92.0,102.4187518077332
2018-06-06 09:00:00,108.0,87.48255152418793
2018-06-06 10:00:00,115.0,107.32729855156698
2018-06-06 11:00:00,122.0,108.40628478091904
2018-06-06 12:00:00,136.0,124.28329291704914
2018-06-06 13:00:00,146.0,131.03034168507787
2018-06-06 14:00:00,139.0,140.1876213207833
2018-06-06 15:00:00,129.0,136.25622389289978
2018-06-06 16:00:00,115.0,125.63825628497983
2018-06-06 17:00:00,111.0,112.17544203271461
2018-06-06 18:00:00,119.0,107.24282437368686
2018-06-06 19:00:00,142.0,117.45115125052696
2018-06-06 20:00:00,142.0,135.49182687398763
2018-06-06 21:00:00,133.0,137.70614700358604
2018-06-06 22:00:00,109.0,124.12951101270978
2018-06-06 23:00:00,89.0,97.74791437140117
2018-06-07 00:00:00,77.0,84.94823599555862
2018-06-07 01:00:00,73.0,73.45227543023086
2018-06-07 02:00:00,67.0,74.2436996652145
2018-06-07 03:00:00,63.0,76.72642311216944
2018-06-07 04:00:00,61.0,70.2601256981136
2018-06-07 05:00:00,57.0,64.1303236974205
2018-06-07 06:00:00,56.0,61.43504973215763
2018-06-07 07:00:00,48.0,56.25223779555981
2018-06-07 08:00:00,36.0,41.1406913253804
2018-06-07 09:00:00,46.0,46.88853131216979
2018-06-07 10:00:00,55.0,54.95757952330173
2018-06-07 11:00:00,62.0,62.41879187632588
2018-06-07 12:00:00,74.0,71.9391013935112
2018-06-07 13:00:00,72.0,80.39981929012018
2018-06-07 14:00:00,64.0,72.78597425399954
2018-06-07 15:00:00,80.0,70.82865555621788
2018-06-07 16:00:00,73.0,86.83116650621159
2018-06-07 17:00:00,71.0,73.1838480437068
2018-06-07 18:00:00,102.0,77.37007372688313
2018-06-07 19:00:00,105.0,111.6888515806813
2018-06-07 20:00:00,117.0,96.86480930263171
2018-06-07 21:00:00,84.0,121.57310076258487
2018-06-07 22:00:00,41.0,70.28868226338854
2018-06-07 23:00:00,23.0,34.85231536352326
2018-06-08 00:00:00,13.0,25.75470046933302
2018-06-08 01:00:00,42.0,19.959728456096997
2018-06-08 02:00:00,38.0,54.17706628002688
2018-06-08 03:00:00,30.0,42.69290304807639
2018-06-08 04:00:00,41.0,37.19266323840564
2018-06-08 05:00:00,53.0,47.242357619947384
2018-06-08 06:00:00,52.0,58.47220283704437
